id;Name;Description;manager;install;uninstall;as;publisher;parameter;dependency
vlc;;;choco;;;;;;
7zip;;;choco;;;;;;
gimp;;;choco;;;;;;
googlechrome;;;choco;;;;;;
key-n-stroke;;;choco;;;;;;
irfanview;;;choco;;;;;;
putty;;;choco;;;;;;
teamviewer;;;choco;;;;;;
shotcut;;;choco;;;;;;
vscode;;;choco;;;;;;
adobereader;;;choco;;;;;;
makemeadmin;;;choco;;;;;;
webex;;;choco;;;;;;
zoom;;;choco;;;;;;
Google.Chrome;;;winget;;;;;;
;Chocolatey Updater;Updates package installed with chocolatey;;;;system;scloud.work;;
;DesktopInfo;Hostname on Desktop;;;;system;scloud.work;;
;Windows Updates;Trigers Windows Updates Once;;;;system;;;
;MS Apps Business;Microsoft Office Apps for Business x64;;;;system;;;
;Proactive Remediation - Remove COPYs;Removes duplicated shortcuts from Desktop;;;;system;;;
;Proactive Remediation - Public Desktop;Clears Public Desktop icons;;;;system;;;
